Self/Self;Self/Nonself;Nonself/Self;Nonself/Nonself;Predicted number of animals at ward of Control;likeliehood of corrct number of animals %;Wads distance to correct number of animals in Cluster;Species;Imputation Stratagy used;Mice itteration;Percentage of Mssing Values;Balanced accuracy;Error Rate Dendrogramm;Overall Score;Weighted Overall Score;Fercentage dataframes missing;Weighted overall score definde 0-1 (negatve values = 0);Range Scale[Wei... Overall Score];Dataframes Remaining;Number of Mistakes/Shuffels needed for correct Cluster classification;Cluster Accuracy;weigted cluster accuracy;Wads distance to correct number of animals in Cluster Prediction Formula;Comments;Number of Trails Controls;Number of animals control;Number of Variables for best Model;Number of Animals in Dataset with 2prints +;Number of trails in Clustermodel;Self/Self in percent;Nonself/nonself in percent;Overall Accuracy;Fehlerrate im Cluster;Precision;Recall;F1 Score;Sensitivity;Specificity;G-mean;Mathews Cooreletaion Coefficiant;Number of animals missing;percentage animals left in databse;percentge missing animals;Wads distance to correct number of animals in Cluster Prediction Formula 2;Wads distance to correct number of animals in Cluster Prediction Formula 3;Wads distance to correct number of animals in Cluster Prediction Formula 4;Cluster Accuracy Prediction Formula;Cluster Accuracy Prediction Formula 3;Cluster Accuracy Predictor;Cluster Accuracy Prediction Formula 2
37;28;33;2828;40;9,1;2,178;Mountain Lion;MICE RF;3;10;0,77884817;0,142857143;0,825756382;0,825756382;;0,825756382;0,911716567;;;;0,635991027;;;77;35;18;35;77;0,569230769;0,988465571;0,979152427;;;;;;;;;;;;;;;;;;
37;28;25;2836;40;50,3;1,983;Mountain Lion;MICE RF;1;15;0,780246283;0,142857143;0,826462071;0,826462071;;0,826462071;0,912074116;;;;0,63738914;;;77;35;18;35;77;0,569230769;0,991261797;0,981886535;;;;;;;;;;;;;;;;;;
34;31;25;2836;39;24,5;2,05;Mountain Lion;MICE RF;2;15;0,75716936;0,114285714;0,829235388;0,829235388;;0,829235388;0,913479263;;;;0,642883646;;;77;35;18;35;77;0,523076923;0,991261797;0,980861244;;;;;;;;;;;;;;;;;;
41;24;63;2798;38;68,9;1,953;Mountain Lion;MICE RF;3;15;0,804374479;0,085714286;0,867483134;0,867483134;;0,867483134;0,932858121;;;;0,718660193;;;77;35;18;35;77;0,630769231;0,977979727;0,970266576;;;;;;;;;;;;;;;;;;
18;47;45;2816;46;1;2,263;Mountain Lion;MICE RF;1;20;0,630597155;0,314285714;0,664400082;0,664400082;;0,664400082;0,829962708;;;;0,316311441;;;77;35;18;35;77;0,276923077;0,984271234;0,968557758;;;;;;;;;;;;;;;;;;
22;43;24;2837;44;1,6;2,238;Mountain Lion;MICE RF;2;20;0,665036432;0,257142857;0,710625599;0,710625599;;0,710625599;0,853383637;;;;0,407893574;;;77;35;18;35;77;0,338461538;0,991611325;0,977101846;;;;;;;;;;;;;;;;;;
35;30;52;2809;42;6,4;2,16;Mountain Lion;MICE RF;3;20;0,760143038;0,2;0,787472577;0,787472577;;0,787472577;0,892319439;;;;0,560143038;;;77;35;18;35;77;0,538461538;0,981824537;0,971975393;;;;;;;;;;;;;;;;;;
256;17;926;10429;38;74,2;1,882;White Rhino;Miss Forrest;;1;0,92808948;0,073170732;0,936258799;0,936258799;2546;0,936258799;0,967704458;2546;;;0,854918748;1,872478954;;153;41;12;41;153;0,937728938;0,918450022;0,918902649;11,76470588;0,904761905;0,364306785;0,519453207;0,364306785;0,997625571;0,602861314;0,560111414;0;1;0;1,856667538;1,852917562;1,855196876;94,17638711;91,24796079;87,04987048;88,48601537
251;22;924;10431;40;40,9;1,828;White Rhino;Miss Forrest;;2,5;0,919020038;0,024390244;0,956302704;0,956302704;2546;0,956302704;0,977860037;2546;;;0,894629794;1,830087257;;153;41;12;41;153;0,919413919;0,918626156;0,918644651;18,30065359;0,915750916;0,224014337;0,359971202;0,224014337;0,997812024;0,472783459;0,43153203;0;1;0;1,796895175;1,806369073;1,817238442;87,83734538;86,76495977;80,9888648;83,745618
263;10;1550;9805;34;12,1;1,696;White Rhino;Miss Forrest;;5;0,91343311;0,170731707;0,879617786;0,879617786;2546;0,879617786;0,939006345;2546;;;0,742701403;1,777398568;;153;41;12;41;153;0,963369963;0,863496257;0,865841073;16,99346405;0,952380952;0,219224283;0,356408499;0,219224283;0,998755028;0,467922382;0,43568697;0;1;0;1,75274631;1,76315661;1,774702896;90,55909703;88,32492832;83,98128762;85,10651889
271;2;2762;8593;28;0;1,483;White Rhino;Miss Forrest;;10;0,874716565;0,317073171;0,786210897;0,786210897;2546;0,786210897;0,891680188;2546;;;0,557643394;1,542364587;;153;41;12;41;153;0,992673993;0,756759137;0,762297902;14,37908497;0,989010989;0,128939828;0,228136882;0,128939828;0,999685337;0,359025425;0,326420153;0;1;0;1,609126177;1,626736411;1,65079837;78,90107571;79,93542217;82,03282239;79,71507662
